seats_moved,california_delta,texas_delta,ev_shift_to_R_2024
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-1,12
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
15,-8,-2,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
15,-8,-2,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
14,-8,-1,11
