seats_moved,california_delta,texas_delta,ev_shift_to_R_2024
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
3,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
1,-1,0,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,1
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
2,-1,-1,0
